algorithm,tuple_count,avg_time_ns,key_id,num_channels,fairness,chi,min_max_diff
ascon,4555318,126.425,N/A,4,0.999998,2.13702e-06,0.095866
ascon,4555318,126.425,N/A,8,0.99999,9.99957e-06,0.11896
ascon,4555318,126.425,N/A,16,0.999967,3.30136e-05,0.153513
ascon,4555318,126.425,N/A,32,0.999945,5.50622e-05,0.129629
ascon,4555318,126.425,N/A,64,0.999897,0.000102534,0.114723
ascon,4555318,126.425,N/A,128,0.999818,0.000182394,0.102649
crc32c,4555318,13.6865,N/A,4,0.999995,4.66379e-06,0.127521
crc32c,4555318,13.6865,N/A,8,0.999991,9.28203e-06,0.109037
crc32c,4555318,13.6865,N/A,16,0.999979,2.14915e-05,0.126533
crc32c,4555318,13.6865,N/A,32,0.999961,3.94081e-05,0.104537
crc32c,4555318,13.6865,N/A,64,0.999913,8.71834e-05,0.101376
crc32c,4555318,13.6865,N/A,128,0.999791,0.000208776,0.108203
jhash,4555318,9.32485,0,4,0.999999,5.42313e-07,0.0448267
jhash,4555318,9.32485,0,8,0.999989,1.08215e-05,0.118433
jhash,4555318,9.32485,0,16,0.99998,2.00794e-05,0.11446
jhash,4555318,9.32485,0,32,0.999964,3.62008e-05,0.0949879
jhash,4555318,9.32485,0,64,0.99991,9.01346e-05,0.100937
jhash,4555318,9.32485,0,128,0.999813,0.000186913,0.10592
jhash,4555318,9.32679,1,4,0.999995,4.79056e-06,0.134217
jhash,4555318,9.32679,1,8,0.999988,1.1607e-05,0.155445
jhash,4555318,9.32679,1,16,0.999976,2.3738e-05,0.127697
jhash,4555318,9.32679,1,32,0.999938,6.15298e-05,0.139815
jhash,4555318,9.32679,1,64,0.999898,0.00010239,0.113823
jhash,4555318,9.32679,1,128,0.999804,0.000195974,0.107479
jhash,4555318,9.34551,2,4,0.999998,2.31805e-06,0.0904876
jhash,4555318,9.34551,2,8,0.999988,1.18788e-05,0.146576
jhash,4555318,9.34551,2,16,0.999972,2.7643e-05,0.138893
jhash,4555318,9.34551,2,32,0.99995,4.99751e-05,0.124865
jhash,4555318,9.34551,2,64,0.999896,0.000104065,0.120936
jhash,4555318,9.34551,2,128,0.999781,0.000219205,0.112155
jhash,4555318,9.38291,3,4,0.999995,5.35666e-06,0.157179
jhash,4555318,9.38291,3,8,0.99999,1.00657e-05,0.105942
jhash,4555318,9.38291,3,16,0.999973,2.66382e-05,0.113208
jhash,4555318,9.38291,3,32,0.999938,6.22539e-05,0.114613
jhash,4555318,9.38291,3,64,0.999881,0.000118646,0.110728
jhash,4555318,9.38291,3,128,0.999788,0.000211693,0.102869
jhash,4555318,9.34012,4,4,0.999999,1.10899e-06,0.0714769
jhash,4555318,9.34012,4,8,0.999988,1.21125e-05,0.141922
jhash,4555318,9.34012,4,16,0.999982,1.76276e-05,0.113121
jhash,4555318,9.34012,4,32,0.99995,5.02268e-05,0.126929
jhash,4555318,9.34012,4,64,0.999892,0.000108033,0.124404
jhash,4555318,9.34012,4,128,0.999786,0.000214418,0.118718
jhash,4555318,9.4233,5,4,0.999995,5.11773e-06,0.153096
jhash,4555318,9.4233,5,8,0.999988,1.15349e-05,0.146115
jhash,4555318,9.4233,5,16,0.999984,1.60538e-05,0.102078
jhash,4555318,9.4233,5,32,0.999962,3.81955e-05,0.0961514
jhash,4555318,9.4233,5,64,0.999906,9.387e-05,0.103813
jhash,4555318,9.4233,5,128,0.999819,0.000180805,0.0970734
jhash,4555318,9.34917,6,4,0.999997,3.19818e-06,0.118894
jhash,4555318,9.34917,6,8,0.999984,1.55596e-05,0.168133
jhash,4555318,9.34917,6,16,0.999969,3.07161e-05,0.144337
jhash,4555318,9.34917,6,32,0.99994,5.96788e-05,0.134019
jhash,4555318,9.34917,6,64,0.999878,0.000122107,0.136917
jhash,4555318,9.34917,6,128,0.999761,0.000239491,0.123416
jhash,4555318,9.36406,7,4,0.999998,2.31978e-06,0.103637
jhash,4555318,9.36406,7,8,0.999989,1.11306e-05,0.140934
jhash,4555318,9.36406,7,16,0.999975,2.51928e-05,0.142185
jhash,4555318,9.36406,7,32,0.999957,4.29123e-05,0.118718
jhash,4555318,9.36406,7,64,0.999892,0.000108168,0.129058
jhash,4555318,9.36406,7,128,0.999758,0.000241975,0.129651
jhash,4555318,9.3754,8,4,0.99999,9.85999e-06,0.18688
jhash,4555318,9.3754,8,8,0.999986,1.43691e-05,0.161855
jhash,4555318,9.3754,8,16,0.999971,2.93948e-05,0.151801
jhash,4555318,9.3754,8,32,0.999929,7.11022e-05,0.144644
jhash,4555318,9.3754,8,64,0.999878,0.000121929,0.129607
jhash,4555318,9.3754,8,128,0.999798,0.000202055,0.104801
jhash,4555318,9.37807,9,4,0.999997,2.80086e-06,0.117906
jhash,4555318,9.37807,9,8,0.999994,6.17455e-06,0.107896
jhash,4555318,9.37807,9,16,0.999981,1.91969e-05,0.113296
jhash,4555318,9.37807,9,32,0.999969,3.06985e-05,0.0943074
jhash,4555318,9.37807,9,64,0.999919,8.06605e-05,0.101244
jhash,4555318,9.37807,9,128,0.999824,0.000175788,0.102627
jhash,4555318,9.36657,10,4,0.999999,1.05324e-06,0.0678548
jhash,4555318,9.36657,10,8,0.999995,4.71692e-06,0.0838361
jhash,4555318,9.36657,10,16,0.999989,1.0601e-05,0.0725087
jhash,4555318,9.36657,10,32,0.999963,3.73039e-05,0.0925731
jhash,4555318,9.36657,10,64,0.99992,8.04526e-05,0.0929683
jhash,4555318,9.36657,10,128,0.999823,0.000177453,0.0947245
jhash,4555318,9.42792,11,4,0.999995,5.4192e-06,0.161372
jhash,4555318,9.42792,11,8,0.999991,9.00916e-06,0.130112
jhash,4555318,9.42792,11,16,0.999981,1.91361e-05,0.12548
jhash,4555318,9.42792,11,32,0.999964,3.57409e-05,0.100169
jhash,4555318,9.42792,11,64,0.999926,7.40441e-05,0.102276
jhash,4555318,9.42792,11,128,0.99985,0.000150002,0.0979954
jhash,4555318,9.33402,12,4,0.999997,3.37292e-06,0.117774
jhash,4555318,9.33402,12,8,0.999996,4.44185e-06,0.0836166
jhash,4555318,9.33402,12,16,0.999979,2.05506e-05,0.115074
jhash,4555318,9.33402,12,32,0.999954,4.58993e-05,0.103791
jhash,4555318,9.33402,12,64,0.999912,8.77431e-05,0.10704
jhash,4555318,9.33402,12,128,0.999797,0.000202765,0.105525
jhash,4555318,9.32087,13,4,0.999997,3.12141e-06,0.103615
jhash,4555318,9.32087,13,8,0.999986,1.37406e-05,0.15022
jhash,4555318,9.32087,13,16,0.999971,2.94267e-05,0.156674
jhash,4555318,9.32087,13,32,0.99994,5.98556e-05,0.132417
jhash,4555318,9.32087,13,64,0.999877,0.000123235,0.129629
jhash,4555318,9.32087,13,128,0.999779,0.000221363,0.121945
jhash,4555318,9.37228,14,4,0.999994,5.81689e-06,0.166289
jhash,4555318,9.37228,14,8,0.999986,1.40118e-05,0.160977
jhash,4555318,9.37228,14,16,0.999967,3.29187e-05,0.150593
jhash,4555318,9.37228,14,32,0.999942,5.79419e-05,0.139178
jhash,4555318,9.37228,14,64,0.999892,0.000108276,0.127236
jhash,4555318,9.37228,14,128,0.999832,0.000168399,0.101947
jhash,4555318,9.34187,15,4,0.999988,1.17929e-05,0.223848
jhash,4555318,9.34187,15,8,0.999987,1.33849e-05,0.154589
jhash,4555318,9.34187,15,16,0.999968,3.2343e-05,0.133712
jhash,4555318,9.34187,15,32,0.999938,6.2449e-05,0.110157
jhash,4555318,9.34187,15,64,0.999871,0.00012907,0.120409
jhash,4555318,9.34187,15,128,0.999778,0.000221871,0.108928
jhash,4555318,9.38002,16,4,0.999993,7.12551e-06,0.18418
jhash,4555318,9.38002,16,8,0.999983,1.74864e-05,0.171119
jhash,4555318,9.38002,16,16,0.999961,3.88743e-05,0.173577
jhash,4555318,9.38002,16,32,0.999925,7.4726e-05,0.159484
jhash,4555318,9.38002,16,64,0.999893,0.000107146,0.123109
jhash,4555318,9.38002,16,128,0.99979,0.000209667,0.113603
jhash,4555318,9.42575,17,4,0.999996,4.49141e-06,0.139639
jhash,4555318,9.42575,17,8,0.99999,1.01399e-05,0.110486
jhash,4555318,9.42575,17,16,0.999973,2.74997e-05,0.107896
jhash,4555318,9.42575,17,32,0.999952,4.80514e-05,0.10761
jhash,4555318,9.42575,17,64,0.9999,9.9671e-05,0.11233
jhash,4555318,9.42575,17,128,0.999811,0.000189497,0.103966
jhash,4555318,9.41638,18,4,0.999993,6.65783e-06,0.178297
jhash,4555318,9.41638,18,8,0.999984,1.60604e-05,0.173402
jhash,4555318,9.41638,18,16,0.999979,2.12188e-05,0.123153
jhash,4555318,9.41638,18,32,0.999945,5.52459e-05,0.129409
jhash,4555318,9.41638,18,64,0.999893,0.000107373,0.120936
jhash,4555318,9.41638,18,128,0.999792,0.000208416,0.110772
jhash,4555318,9.34485,19,4,0.999988,1.23511e-05,0.218668
jhash,4555318,9.34485,19,8,0.999976,2.40754e-05,0.212718
jhash,4555318,9.34485,19,16,0.999962,3.84272e-05,0.168901
jhash,4555318,9.34485,19,32,0.99993,7.04823e-05,0.150198
jhash,4555318,9.34485,19,64,0.999891,0.000108762,0.121221
jhash,4555318,9.34485,19,128,0.999799,0.000201033,0.113757
jhash,4555318,9.34874,20,4,0.999998,2.16308e-06,0.0948342
jhash,4555318,9.34874,20,8,0.999992,7.98156e-06,0.120014
jhash,4555318,9.34874,20,16,0.999979,2.09242e-05,0.12605
jhash,4555318,9.34874,20,32,0.999951,4.858e-05,0.12739
jhash,4555318,9.34874,20,64,0.999905,9.49525e-05,0.111013
jhash,4555318,9.34874,20,128,0.999819,0.000181467,0.102847
jhash,4555318,9.36883,21,4,0.999999,1.44377e-06,0.0848239
jhash,4555318,9.36883,21,8,0.999995,4.73162e-06,0.0867777
jhash,4555318,9.36883,21,16,0.999988,1.16694e-05,0.0900925
jhash,4555318,9.36883,21,32,0.99996,4.01423e-05,0.115008
jhash,4555318,9.36883,21,64,0.999917,8.31157e-05,0.10952
jhash,4555318,9.36883,21,128,0.999804,0.000195632,0.113669
jhash,4555318,9.36067,22,4,0.999996,3.59373e-06,0.130441
jhash,4555318,9.36067,22,8,0.999991,9.30458e-06,0.12616
jhash,4555318,9.36067,22,16,0.999981,1.92709e-05,0.116413
jhash,4555318,9.36067,22,32,0.999955,4.47063e-05,0.115733
jhash,4555318,9.36067,22,64,0.999904,9.62768e-05,0.111979
jhash,4555318,9.36067,22,128,0.999806,0.000193827,0.105481
jhash,4555318,9.37146,23,4,0.999995,4.77553e-06,0.136061
jhash,4555318,9.37146,23,8,0.999988,1.19209e-05,0.143349
jhash,4555318,9.37146,23,16,0.999976,2.37945e-05,0.139178
jhash,4555318,9.37146,23,32,0.999965,3.54104e-05,0.106732
jhash,4555318,9.37146,23,64,0.999915,8.51379e-05,0.117709
jhash,4555318,9.37146,23,128,0.999813,0.000186708,0.109498
jhash,4555318,9.46392,24,4,0.999996,4.38928e-06,0.147147
jhash,4555318,9.46392,24,8,0.999993,6.90492e-06,0.101003
jhash,4555318,9.46392,24,16,0.999986,1.3983e-05,0.0932756
jhash,4555318,9.46392,24,32,0.999963,3.65346e-05,0.0822116
jhash,4555318,9.46392,24,64,0.99992,7.95556e-05,0.0992247
jhash,4555318,9.46392,24,128,0.999831,0.000169185,0.095383
jhash,4555318,9.41425,25,4,0.999993,6.91098e-06,0.182622
