algorithm,tuple_count,avg_time_ns,key_id,num_channels,fairness,chi,min_max_diff
ascon,50000,125.963,N/A,4,0.999986,1.42496e-05,0.254
ascon,50000,125.963,N/A,8,0.999835,0.00016535,0.47
ascon,50000,125.963,N/A,16,0.999756,0.000244493,0.322
ascon,50000,125.963,N/A,32,0.999308,0.00069248,0.318
ascon,50000,125.963,N/A,64,0.99835,0.00165289,0.29
ascon,50000,125.963,N/A,128,0.997455,0.0025516,0.192
crc32c,50000,15.2242,N/A,4,0.999987,1.31456e-05,0.22
crc32c,50000,15.2242,N/A,8,0.99998,2.03072e-05,0.192
crc32c,50000,15.2242,N/A,16,0.999903,9.6768e-05,0.246
crc32c,50000,15.2242,N/A,32,0.999853,0.000146611,0.2
crc32c,50000,15.2242,N/A,64,0.999688,0.000312166,0.118
crc32c,50000,15.2242,N/A,128,0.999339,0.000661504,0.094
toeplitz,50000,20.2475,N/A,4,0.999968,3.21184e-05,0.39
toeplitz,50000,20.2475,N/A,8,0.999959,4.06272e-05,0.204
toeplitz,50000,20.2475,N/A,16,0.999928,7.20384e-05,0.176
toeplitz,50000,20.2475,N/A,32,0.999817,0.00018304,0.186
toeplitz,50000,20.2475,N/A,64,0.999671,0.000328653,0.144
toeplitz,50000,20.2475,N/A,128,0.999421,0.000579686,0.106
jhash,50000,10.1108,0,4,0.999974,2.60768e-05,0.33
jhash,50000,10.1108,0,8,0.999937,6.32192e-05,0.33
jhash,50000,10.1108,0,16,0.999703,0.000297178,0.332
jhash,50000,10.1108,0,32,0.999404,0.000596378,0.312
jhash,50000,10.1108,0,64,0.998797,0.00120448,0.228
jhash,50000,10.1108,0,128,0.997447,0.00255928,0.186
jhash,50000,10.3033,1,4,0.999961,3.89088e-05,0.366
jhash,50000,10.3033,1,8,0.99984,0.000160205,0.48
jhash,50000,10.3033,1,16,0.999788,0.000211661,0.32
jhash,50000,10.3033,1,32,0.99957,0.000429824,0.23
jhash,50000,10.3033,1,64,0.999018,0.000982528,0.224
jhash,50000,10.3033,1,128,0.997742,0.00226304,0.186
jhash,50000,10.5075,2,4,0.999992,8.3936e-06,0.194
jhash,50000,10.5075,2,8,0.999808,0.000191917,0.476
jhash,50000,10.5075,2,16,0.999638,0.000361766,0.42
jhash,50000,10.5075,2,32,0.999452,0.000547968,0.324
jhash,50000,10.5075,2,64,0.998923,0.00107807,0.25
jhash,50000,10.5075,2,128,0.99764,0.00236513,0.2
jhash,50000,10.685,3,4,0.999891,0.00010943,0.706
jhash,50000,10.685,3,8,0.999752,0.000248,0.76
jhash,50000,10.685,3,16,0.999551,0.000449024,0.46
jhash,50000,10.685,3,32,0.999321,0.000679219,0.4
jhash,50000,10.685,3,64,0.99899,0.00101064,0.214
jhash,50000,10.685,3,128,0.997806,0.00219863,0.184
jhash,50000,10.195,4,4,0.999894,0.000105686,0.686
jhash,50000,10.195,4,8,0.999853,0.000146982,0.46
jhash,50000,10.195,4,16,0.999791,0.000209101,0.374
jhash,50000,10.195,4,32,0.999406,0.000594304,0.276
jhash,50000,10.195,4,64,0.999026,0.000975104,0.218
jhash,50000,10.195,4,128,0.99799,0.0020139,0.172
jhash,50000,9.78416,5,4,0.999957,4.27104e-05,0.39
jhash,50000,9.78416,5,8,0.999772,0.000227558,0.636
jhash,50000,9.78416,5,16,0.99949,0.000510067,0.462
jhash,50000,9.78416,5,32,0.999259,0.000741837,0.344
jhash,50000,9.78416,5,64,0.998639,0.00136269,0.276
jhash,50000,9.78416,5,128,0.997372,0.00263455,0.24
jhash,50000,9.91082,6,4,0.999869,0.000131267,0.748
jhash,50000,9.91082,6,8,0.999754,0.000246496,0.674
jhash,50000,9.91082,6,16,0.999599,0.000401126,0.49
jhash,50000,9.91082,6,32,0.999327,0.000673178,0.348
jhash,50000,9.91082,6,64,0.998806,0.00119526,0.27
jhash,50000,9.91082,6,128,0.997277,0.00273029,0.232
jhash,50000,9.84332,7,4,0.99993,6.98208e-05,0.564
jhash,50000,9.84332,7,8,0.999796,0.000203616,0.64
jhash,50000,9.84332,7,16,0.999662,0.000337626,0.44
jhash,50000,9.84332,7,32,0.999185,0.000816077,0.462
jhash,50000,9.84332,7,64,0.998552,0.00145009,0.29
jhash,50000,9.84332,7,128,0.997503,0.00250358,0.214
jhash,50000,9.7775,8,4,0.999922,7.80576e-05,0.606
jhash,50000,9.7775,8,8,0.999847,0.0001528,0.436
jhash,50000,9.7775,8,16,0.999701,0.000298637,0.396
jhash,50000,9.7775,8,32,0.999285,0.00071511,0.348
jhash,50000,9.7775,8,64,0.998744,0.00125711,0.242
jhash,50000,9.7775,8,128,0.997425,0.00258161,0.204
jhash,50000,10.145,9,4,0.999831,0.000168726,0.85
jhash,50000,10.145,9,8,0.999753,0.000247008,0.634
jhash,50000,10.145,9,16,0.999643,0.000357018,0.54
jhash,50000,10.145,9,32,0.999317,0.000683366,0.458
jhash,50000,10.145,9,64,0.99871,0.00129132,0.286
jhash,50000,10.145,9,128,0.997392,0.00261499,0.208
jhash,50000,9.9825,10,4,0.999981,1.85312e-05,0.266
jhash,50000,9.9825,10,8,0.999962,3.79584e-05,0.256
jhash,50000,9.9825,10,16,0.999789,0.000210931,0.384
jhash,50000,9.9825,10,32,0.999351,0.000649139,0.378
jhash,50000,9.9825,10,64,0.998634,0.00136817,0.262
jhash,50000,9.9825,10,128,0.997153,0.00285512,0.216
jhash,50000,10.1733,11,4,0.99998,1.98528e-05,0.304
jhash,50000,10.1733,11,8,0.999896,0.000103533,0.396
jhash,50000,10.1733,11,16,0.999699,0.000301171,0.376
jhash,50000,10.1733,11,32,0.999361,0.000639642,0.286
jhash,50000,10.1733,11,64,0.99868,0.00132157,0.238
jhash,50000,10.1733,11,128,0.997368,0.00263864,0.202
jhash,50000,10.3675,12,4,0.999975,2.504e-05,0.338
jhash,50000,10.3675,12,8,0.999827,0.000173152,0.552
jhash,50000,10.3675,12,16,0.999686,0.00031369,0.426
jhash,50000,10.3675,12,32,0.999305,0.00069591,0.32
jhash,50000,10.3675,12,64,0.998677,0.00132434,0.232
jhash,50000,10.3675,12,128,0.997612,0.0023935,0.174
jhash,50000,10.415,13,4,0.999908,9.248e-05,0.572
jhash,50000,10.415,13,8,0.999737,0.000262842,0.692
jhash,50000,10.415,13,16,0.999551,0.00044928,0.538
jhash,50000,10.415,13,32,0.999307,0.000693504,0.406
jhash,50000,10.415,13,64,0.998763,0.00123863,0.248
jhash,50000,10.415,13,128,0.997708,0.00229734,0.188
jhash,50000,10.4608,14,4,0.999937,6.3344e-05,0.494
jhash,50000,10.4608,14,8,0.999803,0.000197472,0.64
jhash,50000,10.4608,14,16,0.999477,0.000523277,0.6
jhash,50000,10.4608,14,32,0.999137,0.000863667,0.392
jhash,50000,10.4608,14,64,0.998588,0.00141409,0.292
jhash,50000,10.4608,14,128,0.997575,0.00243108,0.208
jhash,50000,10.8383,15,4,0.999963,3.69216e-05,0.372
jhash,50000,10.8383,15,8,0.999943,5.74464e-05,0.332
jhash,50000,10.8383,15,16,0.99986,0.000139994,0.296
jhash,50000,10.8383,15,32,0.999427,0.000573363,0.396
jhash,50000,10.8383,15,64,0.998718,0.00128348,0.288
jhash,50000,10.8383,15,128,0.997721,0.00228444,0.18
jhash,50000,10.585,16,4,0.999993,7.3376e-06,0.17
jhash,50000,10.585,16,8,0.999723,0.000277472,0.634
jhash,50000,10.585,16,16,0.999492,0.000508122,0.576
jhash,50000,10.585,16,32,0.999172,0.000828672,0.448
jhash,50000,10.585,16,64,0.99862,0.00138143,0.274
jhash,50000,10.585,16,128,0.997025,0.00298424,0.242
jhash,50000,10.4583,17,4,0.99997,3.00128e-05,0.334
jhash,50000,10.4583,17,8,0.999852,0.000148371,0.496
jhash,50000,10.4583,17,16,0.99971,0.000290163,0.438
jhash,50000,10.4583,17,32,0.99935,0.00065047,0.448
jhash,50000,10.4583,17,64,0.998423,0.00157983,0.324
jhash,50000,10.4583,17,128,0.997067,0.00294144,0.208
jhash,50000,10.5383,18,4,0.999983,1.74656e-05,0.276
jhash,50000,10.5383,18,8,0.999872,0.000128064,0.402
jhash,50000,10.5383,18,16,0.999638,0.000362586,0.484
jhash,50000,10.5383,18,32,0.999348,0.000652211,0.296
jhash,50000,10.5383,18,64,0.998488,0.00151424,0.3
jhash,50000,10.5383,18,128,0.997224,0.00278333,0.234
