algorithm,tuple_count,avg_time_ns,key_id,num_channels,fairness,chi,min_max_diff
ascon,50000,127.57,N/A,4,0.999962,3.84832e-05,0.372
ascon,50000,127.57,N/A,8,0.999763,0.00023671,0.694
ascon,50000,127.57,N/A,16,0.999666,0.00033417,0.454
ascon,50000,127.57,N/A,32,0.999275,0.000725402,0.394
ascon,50000,127.57,N/A,64,0.998636,0.00136607,0.306
ascon,50000,127.57,N/A,128,0.997541,0.00246456,0.206
crc32c,50000,15.1592,N/A,4,0.999911,8.87264e-05,0.628
crc32c,50000,15.1592,N/A,8,0.999877,0.000122573,0.438
crc32c,50000,15.1592,N/A,16,0.999739,0.000260608,0.392
crc32c,50000,15.1592,N/A,32,0.999483,0.000516864,0.34
crc32c,50000,15.1592,N/A,64,0.998427,0.00157558,0.302
crc32c,50000,15.1592,N/A,128,0.997423,0.00258406,0.192
toeplitz,50000,36.135,N/A,4,0.999978,2.16608e-05,0.286
toeplitz,50000,36.135,N/A,8,0.99996,3.95264e-05,0.22
toeplitz,50000,36.135,N/A,16,0.999871,0.000129421,0.286
toeplitz,50000,36.135,N/A,32,0.999517,0.000482944,0.328
toeplitz,50000,36.135,N/A,64,0.998888,0.00111299,0.242
toeplitz,50000,36.135,N/A,128,0.997503,0.00250317,0.234
jhash,50000,10.9175,0,4,0.999756,0.00024367,0.986
jhash,50000,10.9175,0,8,0.999642,0.000357805,0.818
jhash,50000,10.9175,0,16,0.999487,0.00051351,0.51
jhash,50000,10.9175,0,32,0.999264,0.000736384,0.316
jhash,50000,10.9175,0,64,0.998575,0.00142689,0.272
jhash,50000,10.9175,0,128,0.997443,0.00256338,0.196
jhash,50000,11.0375,1,4,0.999973,2.65824e-05,0.352
jhash,50000,11.0375,1,8,0.999902,9.75936e-05,0.372
jhash,50000,11.0375,1,16,0.999768,0.000232115,0.402
jhash,50000,11.0375,1,32,0.999155,0.000846208,0.376
jhash,50000,11.0375,1,64,0.99854,0.00146263,0.266
jhash,50000,11.0375,1,128,0.997527,0.00247869,0.224
jhash,50000,10.9425,2,4,0.999955,4.54272e-05,0.428
jhash,50000,10.9425,2,8,0.999909,9.10656e-05,0.418
jhash,50000,10.9425,2,16,0.999862,0.000138163,0.346
jhash,50000,10.9425,2,32,0.999749,0.00025088,0.232
jhash,50000,10.9425,2,64,0.999239,0.000761139,0.222
jhash,50000,10.9425,2,128,0.997764,0.00224102,0.21
jhash,50000,10.7992,3,4,0.99997,3.04704e-05,0.384
jhash,50000,10.7992,3,8,0.999835,0.000164634,0.472
jhash,50000,10.7992,3,16,0.99963,0.000369677,0.378
jhash,50000,10.7992,3,32,0.999405,0.000595302,0.354
jhash,50000,10.7992,3,64,0.998777,0.00122476,0.26
jhash,50000,10.7992,3,128,0.997579,0.00242647,0.196
jhash,50000,10.5542,4,4,0.999974,2.63008e-05,0.294
jhash,50000,10.5542,4,8,0.999953,4.72256e-05,0.23
jhash,50000,10.5542,4,16,0.999805,0.000195046,0.282
jhash,50000,10.5542,4,32,0.999528,0.000472038,0.244
jhash,50000,10.5542,4,64,0.998796,0.0012052,0.304
jhash,50000,10.5542,4,128,0.997269,0.00273818,0.208
jhash,50000,10.4467,5,4,0.999974,2.56736e-05,0.328
jhash,50000,10.4467,5,8,0.999934,6.57856e-05,0.312
jhash,50000,10.4467,5,16,0.999837,0.000162714,0.292
jhash,50000,10.4467,5,32,0.999472,0.000528179,0.332
jhash,50000,10.4467,5,64,0.998828,0.00117345,0.27
jhash,50000,10.4467,5,128,0.997599,0.00240671,0.23
jhash,50000,10.3442,6,4,0.999966,3.39168e-05,0.386
jhash,50000,10.3442,6,8,0.999915,8.47936e-05,0.344
jhash,50000,10.3442,6,16,0.99977,0.000229926,0.322
jhash,50000,10.3442,6,32,0.999534,0.000466202,0.268
jhash,50000,10.3442,6,64,0.998741,0.0012608,0.248
jhash,50000,10.3442,6,128,0.996981,0.00302828,0.216
jhash,50000,10.2825,7,4,0.999939,6.11712e-05,0.5
jhash,50000,10.2825,7,8,0.999556,0.000444134,0.924
jhash,50000,10.2825,7,16,0.999458,0.000542016,0.524
jhash,50000,10.2825,7,32,0.999122,0.000878362,0.396
jhash,50000,10.2825,7,64,0.998446,0.00155633,0.298
jhash,50000,10.2825,7,128,0.997259,0.00274883,0.228
jhash,50000,10.32,8,4,0.999977,2.34464e-05,0.302
jhash,50000,10.32,8,8,0.999938,6.24128e-05,0.304
jhash,50000,10.32,8,16,0.999725,0.000275494,0.356
jhash,50000,10.32,8,32,0.99958,0.000420173,0.23
jhash,50000,10.32,8,64,0.99854,0.00146263,0.292
jhash,50000,10.32,8,128,0.997447,0.00255939,0.216
jhash,50000,10.5458,9,4,0.999888,0.000112477,0.722
jhash,50000,10.5458,9,8,0.999844,0.000156512,0.476
jhash,50000,10.5458,9,16,0.999649,0.000351488,0.342
jhash,50000,10.5458,9,32,0.999231,0.000769613,0.408
jhash,50000,10.5458,9,64,0.998622,0.00137958,0.256
jhash,50000,10.5458,9,128,0.997312,0.00269548,0.214
jhash,50000,10.5608,10,4,0.999961,3.8624e-05,0.392
jhash,50000,10.5608,10,8,0.999875,0.000125222,0.406
jhash,50000,10.5608,10,16,0.999778,0.000221965,0.324
jhash,50000,10.5608,10,32,0.999468,0.000531866,0.314
jhash,50000,10.5608,10,64,0.998711,0.00129075,0.258
jhash,50000,10.5608,10,128,0.997398,0.00260844,0.21
