algorithm,tuple_count,avg_time_ns,key_id,num_channels,fairness,chi,min_max_diff
ascon,50000,126.088,N/A,4,0.999875,0.000124611,0.73
ascon,50000,126.088,N/A,8,0.999818,0.000182202,0.55
ascon,50000,126.088,N/A,16,0.999582,0.000418496,0.45
ascon,50000,126.088,N/A,32,0.999168,0.000833024,0.338
ascon,50000,126.088,N/A,64,0.998501,0.00150154,0.264
ascon,50000,126.088,N/A,128,0.996798,0.0032127,0.21
crc32c,50000,13.0483,N/A,4,0.999989,1.08576e-05,0.218
crc32c,50000,13.0483,N/A,8,0.999977,2.28288e-05,0.162
crc32c,50000,13.0483,N/A,16,0.99995,4.97664e-05,0.166
crc32c,50000,13.0483,N/A,32,0.999912,8.80896e-05,0.13
crc32c,50000,13.0483,N/A,64,0.999784,0.000216218,0.112
crc32c,50000,13.0483,N/A,128,0.999501,0.00049961,0.104
toeplitz,50000,29.6767,N/A,4,0.999991,9.3152e-06,0.178
toeplitz,50000,29.6767,N/A,8,0.99998,1.98848e-05,0.184
toeplitz,50000,29.6767,N/A,16,0.999946,5.41696e-05,0.188
toeplitz,50000,29.6767,N/A,32,0.999888,0.000112435,0.122
toeplitz,50000,29.6767,N/A,64,0.999773,0.000227482,0.108
toeplitz,50000,29.6767,N/A,128,0.999452,0.000548454,0.082
jhash,50000,9.215,0,4,0.99994,6.0208e-05,0.506
jhash,50000,9.215,0,8,0.999812,0.000187731,0.446
jhash,50000,9.215,0,16,0.999647,0.00035264,0.412
jhash,50000,9.215,0,32,0.999284,0.000716493,0.336
jhash,50000,9.215,0,64,0.998802,0.00119946,0.236
jhash,50000,9.215,0,128,0.997834,0.00217088,0.174
jhash,50000,9.50832,1,4,0.99999,9.9872e-06,0.198
jhash,50000,9.50832,1,8,0.99986,0.000139725,0.52
jhash,50000,9.50832,1,16,0.999548,0.00045216,0.484
jhash,50000,9.50832,1,32,0.999144,0.000857216,0.392
jhash,50000,9.50832,1,64,0.998595,0.00140723,0.254
jhash,50000,9.50832,1,128,0.997245,0.00276214,0.196
jhash,50000,9.82668,2,4,0.999996,3.8304e-06,0.132
jhash,50000,9.82668,2,8,0.999973,2.6752e-05,0.21
jhash,50000,9.82668,2,16,0.999868,0.000132339,0.282
jhash,50000,9.82668,2,32,0.999609,0.000391014,0.288
jhash,50000,9.82668,2,64,0.998894,0.0011074,0.228
jhash,50000,9.82668,2,128,0.997512,0.00249375,0.194
jhash,50000,9.16334,3,4,0.999964,3.58752e-05,0.422
jhash,50000,9.16334,3,8,0.999841,0.000159322,0.394
jhash,50000,9.16334,3,16,0.999664,0.00033623,0.456
jhash,50000,9.16334,3,32,0.999502,0.000498458,0.324
jhash,50000,9.16334,3,64,0.998805,0.00119654,0.248
jhash,50000,9.16334,3,128,0.997616,0.00239002,0.2
jhash,50000,9.21,4,4,0.999968,3.23872e-05,0.37
jhash,50000,9.21,4,8,0.999934,6.6336e-05,0.342
jhash,50000,9.21,4,16,0.999793,0.000207283,0.336
jhash,50000,9.21,4,32,0.999396,0.00060393,0.288
jhash,50000,9.21,4,64,0.998597,0.00140457,0.256
jhash,50000,9.21,4,128,0.997214,0.00279337,0.232
jhash,50000,9.35334,5,4,0.999944,5.64384e-05,0.492
jhash,50000,9.35334,5,8,0.999841,0.000159014,0.432
jhash,50000,9.35334,5,16,0.999717,0.000282931,0.408
jhash,50000,9.35334,5,32,0.999399,0.000601344,0.348
jhash,50000,9.35334,5,64,0.998767,0.00123474,0.294
jhash,50000,9.35334,5,128,0.997506,0.0025004,0.194
jhash,50000,9.34166,6,4,0.999974,2.58624e-05,0.352
jhash,50000,9.34166,6,8,0.999932,6.8224e-05,0.306
jhash,50000,9.34166,6,16,0.999785,0.000215027,0.38
jhash,50000,9.34166,6,32,0.999535,0.000465075,0.264
jhash,50000,9.34166,6,64,0.998733,0.00126848,0.302
jhash,50000,9.34166,6,128,0.997438,0.00256891,0.226
jhash,50000,9.37834,7,4,0.999808,0.000192042,0.966
jhash,50000,9.37834,7,8,0.999712,0.000288378,0.746
jhash,50000,9.37834,7,16,0.999561,0.000438746,0.536
jhash,50000,9.37834,7,32,0.999109,0.000891597,0.408
jhash,50000,9.37834,7,64,0.998619,0.00138281,0.242
jhash,50000,9.37834,7,128,0.997642,0.00236401,0.17
jhash,50000,9.42666,8,4,0.999886,0.000114198,0.638
jhash,50000,9.42666,8,8,0.999815,0.000184781,0.588
jhash,50000,9.42666,8,16,0.999697,0.000303578,0.372
jhash,50000,9.42666,8,32,0.999403,0.000597837,0.296
jhash,50000,9.42666,8,64,0.998587,0.00141548,0.26
jhash,50000,9.42666,8,128,0.997439,0.00256727,0.212
jhash,50000,9.365,9,4,0.999946,5.43968e-05,0.476
jhash,50000,9.365,9,8,0.999778,0.000221626,0.612
jhash,50000,9.365,9,16,0.999542,0.000458701,0.464
jhash,50000,9.365,9,32,0.99925,0.000750208,0.374
jhash,50000,9.365,9,64,0.998533,0.00146964,0.246
jhash,50000,9.365,9,128,0.997603,0.00240251,0.188
jhash,50000,9.35582,10,4,0.999934,6.55392e-05,0.51
jhash,50000,9.35582,10,8,0.99988,0.000120237,0.448
jhash,50000,9.35582,10,16,0.999705,0.000294976,0.442
jhash,50000,9.35582,10,32,0.999315,0.00068521,0.364
jhash,50000,9.35582,10,64,0.998757,0.00124467,0.238
jhash,50000,9.35582,10,128,0.997324,0.0026836,0.19
jhash,50000,9.37918,11,4,0.999978,2.16736e-05,0.308
jhash,50000,9.37918,11,8,0.999947,5.31584e-05,0.264
jhash,50000,9.37918,11,16,0.999821,0.000179187,0.356
jhash,50000,9.37918,11,32,0.999601,0.000399334,0.26
jhash,50000,9.37918,11,64,0.999104,0.000897229,0.188
jhash,50000,9.37918,11,128,0.997863,0.00214108,0.174
