algorithm,tuple_count,total_time_ns,avg_time_ns,key_id,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
ascon,4555318,572088875,125.587,N/A,570570,567185,567519,571056,569891,572604,568575,567918
crc32c,4555318,59984250,13.168,N/A,567526,568269,571507,570709,567048,572015,568570,569674
jhash,4555318,37647750,8.26457,0,567892,568927,572728,571761,570127,569167,567333,567383
jhash,4555318,37731791,8.28302,1,568719,570490,573596,566515,567972,569259,568900,569867
jhash,4555318,37774584,8.29241,2,569772,570350,569293,567217,566873,569920,568343,573550
jhash,4555318,37568458,8.24716,3,568884,568766,570854,571550,570686,566724,566754,571100
jhash,4555318,37760458,8.28931,4,568442,573437,569311,566972,569007,567268,569593,571288
jhash,4555318,37664500,8.26825,5,567343,568814,568238,570553,568496,573999,569306,568569
jhash,4555318,37832917,8.30522,6,568654,568294,567607,574939,569677,569671,569196,567280
jhash,4555318,37523417,8.23728,7,573834,569382,569280,570397,567581,568636,567414,568794
jhash,4555318,37625792,8.25975,8,569351,570615,567848,569979,566301,570258,567292,573674
jhash,4555318,37637250,8.26227,9,567934,569314,568812,569899,568356,569267,572849,568887
jhash,4555318,37494250,8.23087,10,567169,567781,570392,569148,570988,569609,570089,570142
jhash,4555318,37656584,8.26651,11,572569,569702,568851,570782,570275,568225,566642,568272
jhash,4555318,37510208,8.23438,12,567771,569327,570440,569018,567706,571515,569869,569672
jhash,4555318,37612500,8.25683,13,567126,569037,568414,568908,573969,571471,568926,567467
jhash,4555318,37513875,8.23518,14,569662,570127,567270,568621,568639,568017,568379,574603
jhash,4555318,37663375,8.268,15,568466,568181,569522,573704,566662,568420,568742,571621
jhash,4555318,37523250,8.23724,16,568352,568200,567504,570275,569344,575299,567605,568739
jhash,4555318,37772500,8.29196,17,567949,570987,568121,570727,567876,571199,571746,566713
jhash,4555318,37775583,8.29263,18,566944,569451,567546,574843,568374,569246,570317,568597
jhash,4555318,37634458,8.26165,19,575997,569974,567547,568057,569646,566307,570165,567625
jhash,4555318,37717250,8.27983,20,568381,568294,567872,569195,568932,573339,569972,569333
jhash,4555318,37584125,8.2506,21,569095,569847,570669,571834,567881,568905,568081,569006
jhash,4555318,37535667,8.23997,22,570187,572775,570855,568618,569491,568813,567551,567028
jhash,4555318,37568333,8.24714,23,567816,569627,567671,569295,570847,567119,569294,573649
jhash,4555318,37470416,8.22564,24,570680,570157,570227,568125,568366,568198,572083,567482
jhash,4555318,37516041,8.23566,25,567968,573727,566635,569508,570003,569759,568532,569186
jhash,4555318,37517541,8.23599,26,567634,570394,569364,569417,566944,571581,571940,568044
